industry,quarter,wave
31,2018Q1,0
31,2018Q2,0
31,2018Q3,0
31,2018Q4,0
31,2019Q1,1
31,2019Q2,1
31,2019Q3,1
31,2019Q4,1
31,2020Q1,1
31,2020Q2,1
31,2020Q3,1
31,2020Q4,1
31,2021Q1,1
31,2021Q2,1
31,2021Q3,1
31,2021Q4,1
31,2022Q1,1
31,2022Q2,1
31,2022Q3,1
31,2022Q4,1
32,2018Q1,0
32,2018Q2,0
32,2018Q3,0
32,2018Q4,0
32,2019Q1,0
32,2019Q2,0
32,2019Q3,1
32,2019Q4,1
32,2020Q1,1
32,2020Q2,1
32,2020Q3,1
32,2020Q4,1
32,2021Q1,1
32,2021Q2,1
32,2021Q3,1
32,2021Q4,1
32,2022Q1,1
32,2022Q2,1
32,2022Q3,1
32,2022Q4,1
33,2018Q1,0
33,2018Q2,0
33,2018Q3,0
33,2018Q4,0
33,2019Q1,0
33,2019Q2,0
33,2019Q3,0
33,2019Q4,0
33,2020Q1,1
33,2020Q2,1
33,2020Q3,1
33,2020Q4,1
33,2021Q1,1
33,2021Q2,1
33,2021Q3,1
33,2021Q4,1
33,2022Q1,1
33,2022Q2,1
33,2022Q3,1
33,2022Q4,1
34,2018Q1,0
34,2018Q2,0
34,2018Q3,0
34,2018Q4,0
34,2019Q1,0
34,2019Q2,0
34,2019Q3,0
34,2019Q4,0
34,2020Q1,0
34,2020Q2,0
34,2020Q3,1
34,2020Q4,1
34,2021Q1,1
34,2021Q2,1
34,2021Q3,1
34,2021Q4,1
34,2022Q1,1
34,2022Q2,1
34,2022Q3,1
34,2022Q4,1
